"","Adip_1","Adip_2","Macrophages","Mast","Pre_Ad","Stem","Vascular"
"B9D2",352.937976061946,256.321216140146,6.761250366533,3.00475870672665,95.9997013147053,44.2158980600978,114.989715998493
"EXOSC5",947.418647202267,202.959354353455,15.710056739048,10.4066066289569,105.015564072811,112.661898837036,281.452952530095
"DMAC2",1701.26966247264,766.089286929391,321.418753443294,25.1182036010511,623.148180279923,696.308245213567,690.632527831595
"PCAT19",2983.44440126886,749.508673680677,330.918693594344,74.5286992255975,1791.67546598241,536.129125713259,5365.82887752296
"CEACAM21",426.696930767166,89.537291811285,116.72864543495,27.4686411700656,642.877960780896,66.9316946601524,265.242532933902
"CEACAM7",361.607567135924,84.5331483398221,70.8153330970001,21.9704731470835,537.887002651712,73.7702474958554,190.263673954979
"AC243967.1",225.517958504088,80.6086954664913,52.6404548574059,56.3219355123651,352.404297103773,57.2442008469309,112.139883894853
"AC243967.2",176.174704639672,69.3787189545561,37.7823231809008,15.2940731015243,329.799286954595,59.4615785908931,96.0360576609357
"CEACAM3",181.711857873637,28.4616654927771,19.3379248707689,5.75283488106261,173.739706894963,14.1685901701054,49.5633522715822
"RPS19",44577.505286189,8072.84443262741,4172.624137934,385.749342013751,8496.71328410534,11861.6625678533,18250.0301367024
"ARHGEF1",1418.03268780385,528.980972004765,418.598785836782,184.67343564129,889.77121852689,361.961893956679,717.929100816043
"RABAC1",5056.16796956542,728.344196037931,360.52518021635,27.9208280883485,726.716339909587,1704.01185283725,1917.91814452911
"GRIK5",995.945832617685,212.993546223734,178.928760238549,60.3387510693208,1197.00046052152,122.808647444446,360.632220755614
"ZNF574",1162.69019785085,431.172971042809,60.2392563530625,7.78807006955318,265.735044574578,423.487239498393,586.172540110423
"POU2F2",2060.65488332793,504.991530164966,1124.86356490532,71.4443362144198,2163.77184118307,228.091623646881,745.692581717917
"DEDD2",1297.77129178119,288.472518187136,279.534757717912,16.3045382708889,753.906468564978,264.555751979804,515.556086912072
"ZNF526",895.429758097531,323.180550196392,56.386198840209,6.75593366618914,346.111923606771,364.446389702908,776.318313728149
"GSK3A",1586.20329514316,534.058378731948,146.152132519643,44.8269223259274,333.799591177815,487.722124176394,758.70761872759
"AC006486.2",4.61300965611497,48.5358222068085,0.0890358098872879,0,0.170942431225602,2.77205908037507e-15,3.47213658350392
"ERF",149.463808320305,18.2058285383013,2.27538365399046,0.542752565238513,3.72864750436051,41.9389471797071,120.042223188558
"CIC",937.103884341912,242.725650516623,121.961074649663,40.238750392054,414.27820506969,347.725963023264,575.572745813622
"PAFAH1B3",78.9628012522854,73.0742500448527,8.40127609097086,1.89741025697901,42.9746615631988,107.324495100817,49.1883624746346
"MEGF8",2833.99373817605,1076.37712582734,299.185374305883,50.2958742613032,1401.25900561458,1175.93420833691,1412.71952223488
"CNFN",154.418507477472,28.5099541150379,19.9092836916409,0.164592667235168,62.2102477716957,26.9826005169989,138.889014551084
"LIPE-AS1",6045.81048343081,6671.99904467585,853.439044123725,131.332218940207,4431.75279056732,1196.75241009367,4683.12876963093
"LIPE",3596.74218498805,1618.80538007487,175.52926858431,56.1256397934436,565.12889826825,416.588478704296,1057.442645286
"CEACAM1",399.550378388756,462.304717514497,48.6685452038844,33.0320106695721,396.083912330118,83.2695751644329,792.840827030446
"CEACAMP5",437.785490324022,302.148894243531,73.1919727747792,12.197823700048,453.469039092365,99.8497560678258,484.382450839845
"RPS10P28",207.092982619425,94.1283946502454,69.7311948102658,0.0538691193951411,65.1433222797756,13.7674047877772,120.049434129229
"PSG3",332.692669601042,564.106431988019,55.0800120604194,9.39292531642833,591.855705004612,105.826932363208,703.530872979813
